  2/250 [..............................] - ETA: 25s - loss: 6.8880e-08 - accuracy: 1.0000
  3/250 [..............................] - ETA: 32s - loss: 1.5153e-07 - accuracy: 1.0000
  4/250 [..............................] - ETA: 36s - loss: 1.2484e-07 - accuracy: 1.0000
  5/250 [..............................] - ETA: 38s - loss: 1.0949e-07 - accuracy: 1.0000
  6/250 [..............................] - ETA: 40s - loss: 9.5388e-08 - accuracy: 1.0000
  7/250 [..............................] - ETA: 41s - loss: 8.4081e-08 - accuracy: 1.0000
  8/250 [..............................] - ETA: 42s - loss: 7.9785e-08 - accuracy: 1.0000
  9/250 [>.............................] - ETA: 42s - loss: 7.2686e-08 - accuracy: 1.0000
 10/250 [>.............................] - ETA: 43s - loss: 7.1845e-08 - accuracy: 1.0000
 11/250 [>.............................] - ETA: 43s - loss: 6.6651e-08 - accuracy: 1.0000
 12/250 [>.............................] - ETA: 43s - loss: 1.2113e-07 - accuracy: 1.0000
 13/250 [>.............................] - ETA: 43s - loss: 1.1247e-07 - accuracy: 1.0000
 14/250 [>.............................] - ETA: 43s - loss: 1.0573e-07 - accuracy: 1.0000
 15/250 [>.............................] - ETA: 43s - loss: 1.0328e-07 - accuracy: 1.0000
 16/250 [>.............................] - ETA: 44s - loss: 9.7519e-08 - accuracy: 1.0000
 17/250 [=>............................] - ETA: 44s - loss: 9.7172e-08 - accuracy: 1.0000
 18/250 [=>............................] - ETA: 43s - loss: 9.2132e-08 - accuracy: 1.0000
 19/250 [=>............................] - ETA: 43s - loss: 1.0045e-07 - accuracy: 1.0000
 20/250 [=>............................] - ETA: 43s - loss: 9.6479e-08 - accuracy: 1.0000
 21/250 [=>............................] - ETA: 43s - loss: 1.0134e-07 - accuracy: 1.0000
 22/250 [=>............................] - ETA: 43s - loss: 9.8650e-08 - accuracy: 1.0000
 23/250 [=>............................] - ETA: 43s - loss: 9.4480e-08 - accuracy: 1.0000
 24/250 [=>............................] - ETA: 43s - loss: 9.0984e-08 - accuracy: 1.0000
 25/250 [==>...........................] - ETA: 43s - loss: 9.6914e-08 - accuracy: 1.0000
 26/250 [==>...........................] - ETA: 43s - loss: 9.3395e-08 - accuracy: 1.0000
 27/250 [==>...........................] - ETA: 43s - loss: 9.0373e-08 - accuracy: 1.0000
 28/250 [==>...........................] - ETA: 43s - loss: 8.7725e-08 - accuracy: 1.0000
 29/250 [==>...........................] - ETA: 42s - loss: 8.5036e-08 - accuracy: 1.0000
 30/250 [==>...........................] - ETA: 42s - loss: 8.9603e-08 - accuracy: 1.0000
 31/250 [==>...........................] - ETA: 42s - loss: 1.0644e-07 - accuracy: 1.0000
 32/250 [==>...........................] - ETA: 42s - loss: 1.0543e-07 - accuracy: 1.0000
 33/250 [==>...........................] - ETA: 42s - loss: 1.0234e-07 - accuracy: 1.0000
 34/250 [===>..........................] - ETA: 42s - loss: 1.0037e-07 - accuracy: 1.0000
 35/250 [===>..........................] - ETA: 42s - loss: 9.8258e-08 - accuracy: 1.0000
 36/250 [===>..........................] - ETA: 41s - loss: 9.8887e-08 - accuracy: 1.0000
 37/250 [===>..........................] - ETA: 41s - loss: 9.7255e-08 - accuracy: 1.0000
 38/250 [===>..........................] - ETA: 41s - loss: 9.6943e-08 - accuracy: 1.0000
 39/250 [===>..........................] - ETA: 41s - loss: 1.1203e-07 - accuracy: 1.0000
 40/250 [===>..........................] - ETA: 41s - loss: 1.0993e-07 - accuracy: 1.0000
 41/250 [===>..........................] - ETA: 41s - loss: 1.0784e-07 - accuracy: 1.0000
 42/250 [====>.........................] - ETA: 40s - loss: 1.2139e-07 - accuracy: 1.0000
 43/250 [====>.........................] - ETA: 40s - loss: 1.1975e-07 - accuracy: 1.0000
 44/250 [====>.........................] - ETA: 40s - loss: 1.1732e-07 - accuracy: 1.0000
 45/250 [====>.........................] - ETA: 40s - loss: 1.1561e-07 - accuracy: 1.0000
 46/250 [====>.........................] - ETA: 40s - loss: 1.1355e-07 - accuracy: 1.0000
